RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
394913,1,"New York, NY",msa,NY,405000,404667,408000,414667,421667,421667,410000,395000,385000,378333,373333,368333,365000,365000,367000,375333,380317,381983,377817,374333,369000,368759,369259,372593,370333,368333,371667,380333,390333,392833,389167,380833,373333,368333,366667,363333,361667,358333,363333,371667,377125,378792,368792,356667,345583,340583,338917,338333,340667,345667,355667,365000,371333,370333,362000,355000,349333,349000,346333,343000,338333,345500,358500,375167,386333,386667,380000,368333,361667,360000,360000,358000,354667,355500,365333,380667,393167,392833,384522,375498,371322,372633,372407,370750,366750,369333,377667,389967,398300,398300,390000,380000,376333,376333,375333,372333,372333,375000,383667,395300,405967,405683,398050,389050,384000,381667,381000,379333,384333,390000,404000,414833,422717,421717,411983,404100,399100,399667,398000,396667,400000,406000,417667,427400,436400,434733,426667,418333,411293,411127,410741,411114,409641,413360,421693,433333,438000,438667,433333,428667,426333,426333,428000,428000,431000,434333,442667,450000,461667,473333,483333,491333,494000,494667,494967,493967,499967,507833,524500,537833,546667,550000,546667,541667,536667,537167,537167,541833,546333,557667,574633,592967,606633,603333,591667
753899,2,"Los Angeles, CA",msa,CA,542500,532833,526917,512417,500750,482333,470333,454333,445333,427333,424667,418000,418000,420000,431667,441667,443333,443333,440000,436667,428333,424000,415667,415667,415667,425667,425667,431667,429667,432333,424333,419667,412000,407000,400333,401667,407833,414500,415833,417667,414667,410333,397833,390833,382167,378000,374667,381667,396667,408333,414833,416500,419833,419500,419500,421167,426667,425000,425000,435667,463667,488333,506000,511333,514667,511000,504333,499667,499667,497000,500333,505667,518833,530500,538500,546333,549667,546667,543333,536667,533333,528333,531667,538333,552500,561167,568500,571000,571500,567500,560833,560000,560000,561667,560750,568083,579750,596000,607000,609000,608667,603833,603500,599333,595833,594167,595000,604000,615667,629667,640083,646750,647750,645333,639000,637333,636667,634667,641333,651667,666667,677333,684333,689333,687000,681667,676333,671167,660833,651833,648667,659000,673333,681667,689667,698667,700333,698500,689167,687500,689000,691000,699333,708333,713333,710000,711667,733000,759667,775333,777333,772333,768333,768333,780000,798333,820000,837333,850667,855667,856667,853333,851667,850667,855833,859167,875167,898333,934833,959833,964833,945000,920000,901667,891667
394463,3,"Chicago, IL",msa,IL,245667,247333,252833,257833,261167,258333,248667,239333,232667,226667,221000,217667,219500,221167,224500,227500,230833,228167,223167,216500,212500,206667,202500,204083,207417,213250,217667,222667,229333,224017,218850,206850,203583,202750,201083,198000,194417,194750,200417,205833,212167,204667,194833,181833,177667,172333,167333,166333,173667,183667,198000,205667,211000,202667,191000,182667,177667,176333,169400,168400,174067,187333,203000,215000,221333,217000,208333,199867,194533,190367,184833,184833,190000,201167,214500,221833,227667,222667,216000,206667,201000,196042,192042,193042,201333,214800,226133,231133,231667,226333,220667,213333,209333,204967,200633,201633,210333,222667,233333,238000,239000,231667,225000,218333,216333,214667,213333,218667,225792,236125,243458,247167,246500,240060,232560,228227,226667,226333,225667,228667,236417,245417,253250,255833,254167,247333,240333,235167,232500,230167,229667,233333,241000,249667,256000,259333,258333,252333,245667,242233,240900,238567,238500,243467,254133,258633,260333,262000,269333,274300,276633,274633,271333,267333,265000,268333,278333,291667,301667,303333,301500,294833,288500,283167,279833,277833,276333,280833,290833,302667,313167,316500,313333,303333,295000
394514,4,"Dallas, TX",msa,TX,141850,144817,148317,152300,154000,150000,144667,139500,136167,131817,131450,133117,136633,141000,146740,151907,154073,150667,147000,142645,140145,135812,135467,137832,144665,147698,150833,152333,154333,152000,147333,143000,142667,142258,141558,139525,139933,143292,147325,151825,152833,150483,146650,141650,142083,140083,141717,143117,149117,155483,160650,163983,163317,160700,157033,154867,153939,152906,152573,155800,163293,171793,177793,182000,182667,179833,175500,171500,170000,166000,166333,169300,175967,181967,187333,191667,193454,189288,185954,183500,184883,183883,183883,186667,195000,204000,211167,214167,213500,208000,203333,199333,201000,199300,201483,204817,212183,220667,228000,231833,231833,227500,226333,225667,226076,225409,226243,230500,237833,245667,251333,252967,252333,248000,245133,241767,243767,242333,244983,248383,256050,262700,268300,270967,268000,261150,255150,251483,250967,248467,248467,251167,258500,266833,273133,276300,275633,270667,268000,264250,265250,264083,265167,267500,274330,277663,281330,286667,294333,298150,298483,299150,299667,296667,300078,308411,323078,337000,349000,357333,359500,356228,355228,354728,359667,360667,365500,373833,393833,413333,425500,423833,413833,402167,393833
394692,5,"Houston, TX",msa,TX,144133,145966,149166,152700,154500,153133,147300,139000,132000,128000,127257,130590,136923,144300,150967,156267,158967,157133,152167,147833,143333,141000,138667,140667,144000,146983,149400,151233,152917,151000,147348,144673,145740,143225,141900,140333,141967,144967,147967,151667,153000,150000,147700,144200,144700,141000,137348,136815,143815,152633,159000,161667,160667,156300,153133,153133,154167,151667,149333,151333,159000,167333,174500,178500,180000,177500,173500,170333,168633,167600,168233,169267,174300,178300,183967,187133,191500,189833,187000,182217,183217,183283,184275,185942,190393,197518,202518,206000,205000,199833,194500,188500,188667,187708,189042,189708,194333,201667,208333,213833,213833,210500,205000,203333,204000,202750,201083,203083,209333,216000,220167,222067,221067,218567,215333,213000,210333,208333,208833,211500,219167,225333,229667,230567,229400,225700,222133,219467,220500,217833,217333,218667,225000,232667,238167,241133,240133,235633,230667,228333,230000,229667,229667,229833,235167,236833,241667,248333,256667,258333,258300,259300,263300,262333,265000,272333,285000,296333,304667,308833,308833,303833,301333,303000,307333,308000,311333,316000,328667,340333,348750,350917,344250,337867,328700
395209,6,"Washington, DC",msa,VA,373333,380000,386333,394667,390000,375233,350233,329900,318333,318333,312750,310750,305750,313000,322000,337000,343667,340000,325000,311667,305667,298833,293167,292167,302315,314648,326648,340000,343333,343333,334000,334000,334000,325833,322500,320500,332481,345398,355731,366250,365417,358750,339750,327667,321000,316833,310667,315667,330500,353333,370000,381667,379967,366967,353633,347000,348333,345333,341000,345833,359500,380500,395667,406000,404333,392667,379667,369167,367500,364167,361333,361000,368000,388367,402033,415367,409167,395833,381167,371697,377531,372197,372500,372667,385850,400850,407183,407333,397667,390333,382000,378000,375333,370333,371000,368250,383067,394858,406941,408791,404667,396333,388000,378333,380000,376667,376633,375800,387467,405800,417467,421100,414467,405300,394667,388000,390667,387667,385833,391483,406483,421917,425267,426933,426667,422000,412000,405667,407667,407333,408667,412667,423000,436300,442967,447133,442167,432467,423300,423032,426398,421298,419900,428233,450000,458333,459000,467333,475667,474517,462184,451184,450000,444000,438333,442003,460336,487003,500528,504528,500862,492000,484667,476667,478333,467667,464333,471000,501667,530000,543333,540000,528333,511333,496333
394856,7,"Miami, FL",msa,FL,295000,293333,292000,292000,292667,285667,274000,260000,251667,241467,233133,229633,226500,226333,223167,228167,227000,225000,216667,211333,207000,203667,200500,200167,198583,200083,200017,201600,201600,200000,200000,199167,195833,192500,190000,188333,186667,189900,195567,198483,194717,187050,182467,179000,178133,176467,175467,175000,177667,182667,190500,195500,197500,195833,194833,194500,196667,196367,196367,200867,211167,223000,231833,237658,242492,240825,235667,234000,234000,234967,232467,234167,240533,249700,258000,264583,263583,260250,255500,254833,255167,254067,255733,257067,261667,264167,269167,272500,273333,270300,269300,265967,268000,265667,268333,267667,272667,277333,284000,287333,288333,288333,286667,285000,283333,281667,284333,286833,293500,296667,302500,305833,310000,308333,303333,301667,301667,305000,305000,310000,313333,318000,321500,323167,323500,320000,321667,322333,324000,320667,319333,319333,321750,325750,329083,334000,335667,334000,331667,331667,335000,338333,340000,342000,345333,347000,348333,353333,360833,367500,370833,374667,378000,379667,381667,389000,400667,412333,421667,429083,432417,431417,429000,432333,440000,446667,455000,465000,481667,499817,513150,519817,513333,506667,500833
394974,8,"Philadelphia, PA",msa,PA,210833,217667,222667,230667,235000,233300,224967,217300,210667,206667,201667,200000,200000,204333,212000,220333,226000,223333,217000,209083,206367,205033,206283,205333,208000,209333,215333,223000,228333,229333,223000,216333,211333,208333,206667,201667,200833,200833,210833,219000,225650,220650,213317,205000,203333,200167,198500,193500,195000,201667,214454,225454,230454,225650,218067,212883,211567,209817,204667,201333,203767,210767,222433,232333,238967,233967,224967,216667,214000,210667,203033,199867,201533,210833,221667,231633,236633,231843,225210,218543,216667,213300,208267,204933,206242,214425,225558,234117,236633,233800,226300,220633,214000,209167,205000,203333,207500,216667,229233,238567,240233,234333,227333,222300,222300,218300,213333,210000,215000,225000,236633,244300,245967,239300,231633,226633,226667,223333,220000,218333,222650,229283,237283,244633,249667,246667,240000,234967,233300,231633,228300,228300,233300,241633,251633,261633,266667,262500,253483,248450,247617,246767,243467,243467,253333,262667,270167,273833,281133,285800,283767,278800,274967,274000,270417,268417,271050,277967,288300,298333,308333,310000,305000,297500,291833,291833,288667,287667,289333,303333,322333,336667,340667,335333,326833
394347,9,"Atlanta, GA",msa,GA,172783,176117,179483,182333,180667,173133,165800,157467,151667,148000,144667,144633,143300,146633,151167,157833,161167,158300,153633,150267,148633,142267,133967,129967,134333,142667,146667,146333,141300,136967,130633,127083,127083,128193,125110,119443,118333,120900,126567,130567,136300,136300,133300,129333,125333,123367,122367,127367,137935,148602,157935,161667,159633,154750,146417,144117,145333,144333,146500,152400,165067,178233,186075,192742,190375,182633,173300,166333,166833,164500,165167,166633,174967,185633,195233,199900,196567,187458,179125,174458,174500,173167,175067,178233,187416,199850,207850,211667,204333,197167,187833,186000,186500,186500,185667,187000,194867,204200,209483,211283,205933,198650,191767,190450,190775,189658,189158,194167,203333,212000,218667,221333,220167,215133,211300,209967,211667,211667,214667,218333,227133,235133,241467,242633,238267,233267,229300,227667,226333,223667,223633,227867,235483,244667,251433,255983,254833,250139,245306,243973,245315,244648,246315,250167,260133,261800,264300,267667,277333,281793,283460,283051,283425,281758,284167,293333,308333,323333,335000,342667,342667,340383,340383,345883,349833,348833,348333,353333,365667,382333,394333,400300,395300,386633,375000
394976,10,"Phoenix, AZ",msa,AZ,230750,230417,230750,226667,221667,212667,207251,199234,188401,176483,169500,166333,164667,162983,162317,161619,157302,154636,149667,148333,145633,144133,142800,143167,145517,146850,146850,144333,140405,138238,137538,137133,135933,134133,133467,131833,131667,129500,128833,126500,126000,124667,123333,123717,124717,127717,129333,133667,140300,148633,154967,156667,158000,158333,160003,162670,164337,166000,166667,171667,178133,184633,188633,192167,192000,191333,190333,190667,192546,192046,192046,192667,195333,198633,200467,200967,201833,199833,199167,196667,199017,199683,203017,204167,207500,211667,215167,217167,216333,216167,216167,216833,219000,220333,221333,220667,223667,227833,232145,232145,232645,232667,234333,234000,233333,233000,233333,234667,236633,240633,244800,247300,247967,247133,248333,249000,250665,251415,254748,257417,260000,263300,267967,271300,271333,270000,269167,269167,269167,270000,270000,271667,274050,279050,282383,285000,285667,287333,289167,290167,291833,294967,299967,304967,306667,306333,308000,314000,322667,329333,335000,338333,340000,343333,351667,363333,375400,388733,402067,413333,420000,425000,430000,434667,438000,443000,451667,465000,477667,492200,498867,497683,483942,469775,458708
